light_id,location_name,fault_type,timestamp,severity_level,fault_status,maintenance_cost
L0058,Canberra,Sensor-related,2020-01-03 19:51:36,High,In Progress,247.01
L0950,Outram Park,Sensor-related,2020-01-05 00:35:27,Low,Acknowledged,71.5
L0759,Orchard Road,Power-related,2020-01-05 13:21:17,High,Closed,112.9
L0498,City Hall,Control system,2020-01-07 05:01:16,High,In Progress,340.43
L0306,Canberra,Environmental,2020-01-08 10:28:21,Critical,Acknowledged,497.78
L0553,Canberra,Communication,2020-01-09 10:31:47,Low,Resolved,201.74
L0856,Canberra,Power-related,2020-01-10 00:41:25,High,In Progress,396.98
L0210,Chinatown,Sensor-related,2020-01-10 23:50:42,Low,Acknowledged,
L0451,Toa Payoh,Environmental,2020-01-11 10:10:35,Medium,Detected,238.98
L0175,Bishan,Power-related,2020-01-12 03:19:52,Medium,Resolved,396.02
L0788,Bishan,Cybersecurity,2020-01-14 00:20:29,Low,Detected,472.09
L0934,Bugis Junction,Control system,2020-01-15 03:26:21,Medium,Detected,105.29
L0448,Canberra,Cybersecurity,2020-01-15 05:36:13,Critical,Acknowledged,451.93
L0286,Canberra,Environmental,2020-01-15 14:28:38,High,Acknowledged,267.76
L0405,City Hall,Cybersecurity,2020-01-15 18:33:16,High,Closed,166.56
L0148,Pasir Ris,Power-related,2020-01-18 05:41:01,Medium,Resolved,493.32
L0345,Orchard Road,Environmental,2020-01-19 20:54:15,Medium,In Progress,56.02
L0124,Toa Payoh,Control system,2020-01-20 07:01:10,High,In Progress,419.65
L0229,Toa Payoh,Control system,2020-01-21 01:51:25,Critical,Detected,293.56
L0338,Bishan,Environmental,2020-01-22 19:14:00,Informational,In Progress,397.84
L0650,Jurong West,Control system,2020-01-26 11:35:29,Low,Acknowledged,456.19
L0310,Bishan,Communication,2020-01-26 20:12:44,Informational,In Progress,336.25
L0773,Pasir Ris,Environmental,2020-02-01 08:36:26,Medium,In Progress,228.26
L0052,Chinatown,Sensor-related,2020-02-04 03:44:45,Informational,Detected,85.68
L0942,Bishan,Cybersecurity,2020-02-04 05:05:01,Medium,Resolved,456.03
L0176,Bishan,Control system,2020-02-05 11:45:05,Informational,Acknowledged,335.87
L0448,Canberra,Communication,2020-02-09 00:08:07,Informational,In Progress,327.75
L0546,Canberra,Cybersecurity,2020-02-10 02:48:05,Medium,In Progress,214.97
L0040,Chinatown,Sensor-related,2020-02-10 08:08:46,High,Closed,231.93
L0030,Bugis Junction,Control system,2020-02-10 10:42:41,Low,Acknowledged,287.7
L0430,Toa Payoh,Sensor-related,2020-02-10 21:50:29,High,In Progress,296.31
L0837,Outram Park,Cybersecurity,2020-02-11 00:50:52,Low,Detected,64.94
L0593,Bishan,Cybersecurity,2020-02-13 00:21:56,Medium,Resolved,244.14
L0393,Canberra,Control system,2020-02-16 08:45:42,Medium,Resolved,270.84
L0185,Toa Payoh,Sensor-related,2020-02-19 09:47:51,Informational,Resolved,350.19
L0446,Toa Payoh,Control system,2020-02-19 16:16:21,Medium,Closed,60.73
L0693,Pasir Ris,Power-related,2020-02-20 13:56:25,Low,Resolved,244.92
L0698,Chinatown,Control system,2020-02-20 15:46:30,Informational,In Progress,133.16
L0469,Bishan,Environmental,2020-02-24 01:50:51,High,Acknowledged,359.15
L0793,Jurong West,Power-related,2020-02-26 18:23:52,Medium,In Progress,217.18
L0260,Bugis Junction,Cybersecurity,2020-02-27 05:50:57,Informational,In Progress,
L0013,Bishan,Cybersecurity,2020-02-28 05:14:52,Low,Acknowledged,167.65
L0948,Pasir Ris,Cybersecurity,2020-02-29 16:37:48,Informational,Closed,72.69
L0177,Jurong West,Power-related,2020-03-01 15:43:47,Critical,Detected,
L0547,Canberra,Sensor-related,2020-03-02 00:17:50,Critical,In Progress,
L0131,Chinatown,Cybersecurity,2020-03-03 08:26:59,Informational,Detected,
L0492,Canberra,Sensor-related,2020-03-05 13:35:41,Informational,Closed,172.98
L0406,Outram Park,Power-related,2020-03-06 00:50:33,High,Detected,84.82
L0688,Jurong West,Sensor-related,2020-03-06 09:29:02,Informational,Closed,470.12
L0378,Jurong West,Cybersecurity,2020-03-07 18:11:21,Low,In Progress,109.77
L0010,Chinatown,Environmental,2020-03-10 15:15:55,Low,Detected,211.85
L0522,Toa Payoh,Environmental,2020-03-13 03:25:05,Critical,Closed,63.2
L0824,Chinatown,Control system,2020-03-14 04:59:41,High,Closed,227.88
L0422,Chinatown,Environmental,2020-03-14 10:47:10,Medium,In Progress,120.79
L0180,Bishan,Environmental,2020-03-15 21:34:53,Low,Resolved,409.08
L0399,Bishan,Environmental,2020-03-16 04:10:30,Informational,Closed,260.75
L0682,Toa Payoh,Cybersecurity,2020-03-16 10:14:23,Informational,Resolved,
L0909,Bugis Junction,Sensor-related,2020-03-17 00:48:10,High,Detected,248.17
L0002,Bishan,Cybersecurity,2020-03-17 01:19:31,Medium,In Progress,153.65
L0182,Canberra,Communication,2020-03-21 13:56:03,Low,Closed,423.41
L0937,Toa Payoh,Power-related,2020-03-22 23:00:17,Medium,Detected,108.32
L0432,City Hall,Power-related,2020-03-23 14:12:18,Medium,Detected,269.49
L0284,Canberra,Communication,2020-03-23 15:36:24,High,Resolved,388.63
L0329,Toa Payoh,Power-related,2020-03-23 18:11:48,Critical,In Progress,283.69
L0384,Jurong West,Sensor-related,2020-03-25 16:43:01,High,Detected,164.55
L0352,Jurong West,Power-related,2020-03-26 01:21:38,Low,Acknowledged,164.27
L0262,Bishan,Sensor-related,2020-03-26 18:46:00,Medium,In Progress,
L0249,Pasir Ris,Communication,2020-03-26 21:08:33,Low,Acknowledged,89.9
L0049,Orchard Road,Communication,2020-03-29 05:45:57,Medium,Resolved,93.9
L0137,Chinatown,Cybersecurity,2020-03-29 07:23:15,Critical,Closed,452.2
L0041,Pasir Ris,Power-related,2020-03-30 22:27:22,Low,In Progress,131.88
L0060,Orchard Road,Control system,2020-03-31 13:38:18,High,Resolved,117.24
L0320,Bishan,Control system,2020-04-02 04:24:54,Medium,In Progress,303.6
L0287,Chinatown,Power-related,2020-04-05 05:35:56,Informational,Resolved,368.24
L0751,Outram Park,Environmental,2020-04-07 20:17:04,Critical,Closed,346.8
L0571,Orchard Road,Environmental,2020-04-09 22:24:50,Critical,Acknowledged,392.91
L0959,Pasir Ris,Environmental,2020-04-10 08:49:49,Informational,Detected,467.96
L0333,Toa Payoh,Communication,2020-04-10 11:54:50,Low,In Progress,
L0800,Canberra,Sensor-related,2020-04-14 13:52:15,High,Resolved,406.36
L0492,Canberra,Sensor-related,2020-04-15 04:31:53,Informational,Resolved,497.03
L0808,Chinatown,Communication,2020-04-20 07:43:56,High,Resolved,460.84
L0759,Orchard Road,Sensor-related,2020-04-20 09:43:18,Medium,Detected,418.44
L0921,Toa Payoh,Sensor-related,2020-04-21 08:35:51,Informational,Closed,214.99
L0577,Outram Park,Environmental,2020-04-21 09:33:26,High,Resolved,250.25
L0132,Orchard Road,Control system,2020-04-25 07:26:18,High,In Progress,224.1
L0547,Canberra,Sensor-related,2020-04-25 19:19:19,Critical,Detected,493.38
L0928,City Hall,Control system,2020-04-28 01:26:48,Medium,Closed,53.29
L0183,Bugis Junction,Power-related,2020-04-30 17:24:43,Informational,Detected,65.48
L0746,Jurong West,Communication,2020-05-01 02:48:26,Medium,Detected,475.36
L0816,Canberra,Communication,2020-05-03 21:09:36,Informational,Detected,453.54
L0119,Outram Park,Sensor-related,2020-05-07 19:05:57,Informational,Closed,357.02
L0726,Bugis Junction,Environmental,2020-05-10 13:10:21,High,Resolved,386.51
L0160,Canberra,Communication,2020-05-11 00:43:15,Critical,Closed,55.92
L0844,Outram Park,Control system,2020-05-11 18:22:57,Informational,In Progress,213.51
L0980,Canberra,Environmental,2020-05-13 05:09:37,Low,Acknowledged,437.37
L0453,Chinatown,Power-related,2020-05-15 16:37:54,Low,In Progress,197.36
L0039,Bishan,Control system,2020-05-18 20:32:00,Critical,Detected,287.95
L0702,Bugis Junction,Communication,2020-05-22 02:05:08,Medium,In Progress,92.35
L0971,Orchard Road,Environmental,2020-05-22 21:39:22,Low,Detected,251.98
L0812,Chinatown,Sensor-related,2020-05-24 20:31:58,Low,Detected,419.95
L0660,City Hall,Sensor-related,2020-05-25 19:15:03,Informational,Detected,161.86
L0055,Bugis Junction,Sensor-related,2020-05-27 00:07:53,Medium,Detected,333.14
L0535,Canberra,Communication,2020-05-28 10:42:05,High,Closed,
L0951,Bishan,Control system,2020-05-28 16:46:31,Informational,Closed,57.21
L0120,Pasir Ris,Environmental,2020-05-30 17:32:15,Critical,In Progress,51.71
L0491,Bishan,Communication,2020-05-30 20:24:23,Informational,Resolved,239.53
L0305,Orchard Road,Power-related,2020-06-02 08:29:42,Low,Closed,133.39
L0601,Bishan,Communication,2020-06-02 13:56:17,Medium,Resolved,479.53
L0869,Toa Payoh,Communication,2020-06-03 00:25:53,High,Acknowledged,371.93
L0493,Jurong West,Power-related,2020-06-07 04:17:29,Medium,Acknowledged,371.46
L0226,Bugis Junction,Environmental,2020-06-08 23:40:57,Critical,Acknowledged,332.45
L0454,Pasir Ris,Communication,2020-06-20 16:34:27,High,Detected,196.37
L0910,Chinatown,Sensor-related,2020-06-22 07:21:16,Critical,Detected,390.46
L0009,Jurong West,Control system,2020-06-23 00:59:43,Critical,Acknowledged,
L0233,Bugis Junction,Power-related,2020-06-24 01:45:30,Medium,Resolved,299.54
L0968,City Hall,Sensor-related,2020-06-25 09:43:47,Medium,In Progress,
L0572,Toa Payoh,Cybersecurity,2020-06-26 15:08:40,Informational,In Progress,237.82
L0419,Chinatown,Environmental,2020-06-26 16:03:49,High,Resolved,376.45
L0695,City Hall,Power-related,2020-06-28 14:24:34,Critical,In Progress,256.14
L0606,Pasir Ris,Cybersecurity,2020-06-29 08:13:33,Medium,Detected,337.81
L0455,Pasir Ris,Environmental,2020-06-30 00:27:19,Medium,Closed,483.51
L0042,Outram Park,Power-related,2020-07-01 10:44:47,Informational,Acknowledged,316.74
L0582,Outram Park,Environmental,2020-07-01 18:00:35,Low,Resolved,200.7
L0527,Chinatown,Environmental,2020-07-03 15:47:52,Critical,In Progress,
L0998,Chinatown,Communication,2020-07-04 01:57:39,Low,Detected,319.31
L0386,Bugis Junction,Communication,2020-07-04 02:50:40,Low,In Progress,274.95
L0390,Outram Park,Power-related,2020-07-05 08:04:21,High,In Progress,464.81
L0359,Orchard Road,Sensor-related,2020-07-06 13:46:57,Low,In Progress,353.37
L0805,Orchard Road,Control system,2020-07-08 10:57:39,Low,In Progress,
L0010,Chinatown,Sensor-related,2020-07-09 21:10:36,Low,Resolved,
L0988,Outram Park,Cybersecurity,2020-07-13 23:34:55,Low,In Progress,243.73
L0733,Outram Park,Power-related,2020-07-17 10:03:00,Medium,Acknowledged,72.11
L0249,Pasir Ris,Environmental,2020-07-18 21:40:04,High,Resolved,399.84
L0305,Orchard Road,Control system,2020-07-21 11:02:52,Low,Acknowledged,136.51
L0728,Chinatown,Sensor-related,2020-07-21 21:05:56,Medium,In Progress,246.03
L0075,Chinatown,Control system,2020-07-23 10:26:55,Medium,Detected,397.72
L0802,Orchard Road,Cybersecurity,2020-07-23 17:13:25,Informational,Closed,399.02
L0597,Jurong West,Communication,2020-07-23 19:05:01,Informational,Closed,212.32
L0132,Orchard Road,Control system,2020-07-24 00:42:40,Informational,Closed,406.45
L0051,Outram Park,Control system,2020-07-24 12:50:40,Critical,Detected,88.94
L0807,Bishan,Sensor-related,2020-07-25 02:37:10,Critical,Resolved,220.27
L0635,Chinatown,Environmental,2020-07-26 17:51:06,Informational,Detected,
L0834,City Hall,Environmental,2020-07-26 19:16:53,Medium,Resolved,426.99
L0091,Outram Park,Cybersecurity,2020-07-28 02:28:52,Informational,Acknowledged,289.72
L0668,Chinatown,Sensor-related,2020-07-31 22:48:56,Low,In Progress,439.8
L0140,Toa Payoh,Control system,2020-08-02 01:53:46,Medium,In Progress,
L0994,Bishan,Control system,2020-08-04 03:03:39,Informational,Resolved,328.9
L0474,Orchard Road,Sensor-related,2020-08-04 15:10:46,Low,Closed,276.43
L0649,Bugis Junction,Cybersecurity,2020-08-05 09:35:25,Low,In Progress,
L0508,Bugis Junction,Sensor-related,2020-08-06 22:54:50,Low,Detected,301.83
L0030,Bugis Junction,Power-related,2020-08-08 07:05:09,Informational,Closed,115.94
L0593,Bishan,Power-related,2020-08-09 07:09:50,High,Resolved,81.67
L0610,Outram Park,Control system,2020-08-09 19:40:16,Low,Resolved,59.36
L0676,Orchard Road,Cybersecurity,2020-08-10 10:33:26,High,Resolved,189.15
L0270,Bishan,Power-related,2020-08-12 12:54:02,Critical,Detected,329.46
L0456,Pasir Ris,Cybersecurity,2020-08-12 19:02:47,Medium,Closed,
L0088,City Hall,Environmental,2020-08-17 09:59:26,Medium,Resolved,220.78
L0173,Chinatown,Environmental,2020-08-17 14:23:03,Critical,Acknowledged,193.5
L0681,Bishan,Environmental,2020-08-18 14:14:58,Medium,Acknowledged,65.94
L0524,Chinatown,Power-related,2020-08-19 22:16:12,Medium,Detected,392.42
L0034,City Hall,Cybersecurity,2020-08-21 00:23:16,Informational,Resolved,224.33
L0666,Orchard Road,Sensor-related,2020-08-21 07:40:49,Informational,Detected,71.38
L0788,Bishan,Communication,2020-08-22 13:12:01,High,Closed,220.91
L0412,Toa Payoh,Sensor-related,2020-08-23 23:58:57,Informational,Closed,395.83
L0110,Bishan,Cybersecurity,2020-08-24 00:46:03,Low,Detected,417.58
L0894,Pasir Ris,Control system,2020-08-24 05:44:06,Critical,Acknowledged,205.75
L0539,City Hall,Cybersecurity,2020-08-24 07:09:24,Medium,Acknowledged,447.76
L0783,Bishan,Environmental,2020-08-26 15:30:59,Medium,In Progress,270.88
L0359,Orchard Road,Sensor-related,2020-08-27 07:26:40,Medium,In Progress,195.81
L0408,Chinatown,Cybersecurity,2020-08-29 22:02:14,Critical,Closed,491.82
L0543,Bugis Junction,Sensor-related,2020-08-30 01:33:20,High,In Progress,493.39
L0039,Bishan,Cybersecurity,2020-09-01 05:42:17,Medium,Detected,318.85
L0388,Bugis Junction,Cybersecurity,2020-09-02 21:46:03,Low,In Progress,248.17
L0794,Orchard Road,Environmental,2020-09-03 04:36:18,Critical,Closed,499.74
L0845,Bishan,Cybersecurity,2020-09-03 05:53:48,High,In Progress,384.38
L0902,Toa Payoh,Communication,2020-09-03 15:37:15,Critical,Closed,57.28
L0701,Bishan,Cybersecurity,2020-09-05 06:05:21,High,Acknowledged,244.24
L0202,Orchard Road,Cybersecurity,2020-09-10 06:55:32,Low,Resolved,191.56
L0170,Toa Payoh,Control system,2020-09-10 12:51:56,High,Closed,123.32
L0445,City Hall,Environmental,2020-09-10 16:59:01,Critical,Closed,
L0643,Orchard Road,Control system,2020-09-11 13:45:24,Critical,Closed,133.78
L0961,Bugis Junction,Power-related,2020-09-12 01:27:41,High,Acknowledged,62.32
L0307,Toa Payoh,Control system,2020-09-14 08:39:18,High,Closed,457.33
L0120,Pasir Ris,Power-related,2020-09-15 04:33:24,Medium,Closed,420.51
L0684,Toa Payoh,Environmental,2020-09-15 18:50:48,High,Closed,178.14
L0380,Outram Park,Communication,2020-09-16 09:37:37,High,Resolved,348.65
L0878,Canberra,Control system,2020-09-17 06:16:54,Low,Resolved,489.22
L0481,City Hall,Environmental,2020-09-17 15:07:30,Critical,Closed,
L0670,Canberra,Power-related,2020-09-17 15:44:58,Informational,In Progress,152.19
L0477,Pasir Ris,Sensor-related,2020-09-17 15:54:50,Medium,Acknowledged,109.13
L0292,Bishan,Control system,2020-09-19 17:36:52,Critical,Acknowledged,402.15
L0798,Bugis Junction,Environmental,2020-09-22 10:38:09,High,In Progress,242.38
L0570,Outram Park,Cybersecurity,2020-09-27 05:01:44,Critical,Acknowledged,131.1
L0638,Canberra,Communication,2020-09-28 22:18:23,Critical,Closed,138.54
L0157,Orchard Road,Environmental,2020-10-03 12:55:24,Low,Resolved,167.9
L0413,Chinatown,Sensor-related,2020-10-06 02:21:38,High,Closed,337.84
L0538,Bishan,Communication,2020-10-07 13:18:12,High,Closed,386.32
L0274,Pasir Ris,Communication,2020-10-09 18:52:03,Critical,Closed,
L0708,Bishan,Cybersecurity,2020-10-11 04:29:58,Critical,Closed,451.38
L0519,Pasir Ris,Communication,2020-10-11 08:47:26,Informational,Acknowledged,51.22
L0117,Jurong West,Sensor-related,2020-10-12 03:12:58,Medium,Detected,151.88
L0481,City Hall,Communication,2020-10-13 02:04:06,Informational,Detected,84.09
L0052,Chinatown,Environmental,2020-10-15 04:11:10,Critical,In Progress,
L0310,Bishan,Control system,2020-10-17 06:43:49,High,Resolved,
L0436,Orchard Road,Environmental,2020-10-17 07:13:45,Critical,Acknowledged,475.93
L0593,Bishan,Cybersecurity,2020-10-18 03:09:13,Informational,In Progress,119.92
L0258,Bishan,Power-related,2020-10-24 00:09:08,Informational,Acknowledged,
L0287,Chinatown,Environmental,2020-10-26 14:41:32,High,In Progress,103.66
L0744,Bishan,Cybersecurity,2020-10-27 19:29:05,Low,Acknowledged,353.05
L0570,Outram Park,Power-related,2020-11-02 19:30:04,Low,Acknowledged,275.75
L0930,Chinatown,Control system,2020-11-05 07:50:05,Low,In Progress,151.2
L0226,Bugis Junction,Cybersecurity,2020-11-05 12:51:57,Informational,Closed,78.3
L0245,Canberra,Power-related,2020-11-06 22:48:40,Informational,Closed,68.74
L0057,Chinatown,Communication,2020-11-06 23:57:26,Low,In Progress,478.46
L0754,Toa Payoh,Control system,2020-11-07 09:39:18,Low,Closed,339.31
L0040,Chinatown,Sensor-related,2020-11-07 11:05:11,Medium,Detected,141.63
L0929,Chinatown,Environmental,2020-11-07 12:17:32,High,Closed,75.16
L0061,Chinatown,Environmental,2020-11-10 03:05:30,Low,Closed,233.02
L0464,City Hall,Control system,2020-11-10 03:38:14,Informational,Acknowledged,371.29
L0139,Pasir Ris,Environmental,2020-11-11 02:57:24,Informational,Acknowledged,192.31
L0253,Jurong West,Sensor-related,2020-11-12 02:26:49,Medium,Closed,
L0650,Jurong West,Sensor-related,2020-11-13 03:00:51,Medium,Acknowledged,61.0
L0599,Bishan,Communication,2020-11-13 04:32:39,Medium,Acknowledged,293.26
L0651,City Hall,Environmental,2020-11-14 15:18:49,High,Resolved,262.6
L0017,Orchard Road,Power-related,2020-11-15 04:13:30,Informational,In Progress,180.26
L0458,Canberra,Power-related,2020-11-16 22:09:03,Low,Detected,284.19
L0190,Bugis Junction,Cybersecurity,2020-11-17 05:28:28,Critical,In Progress,
L0163,Orchard Road,Control system,2020-11-17 22:45:54,Low,Resolved,121.07
L0778,Chinatown,Environmental,2020-11-19 00:39:00,Low,Acknowledged,
L0805,Orchard Road,Communication,2020-11-20 17:36:48,Informational,Closed,52.67
L0136,Canberra,Sensor-related,2020-11-21 09:43:39,Low,In Progress,322.02
L0830,Pasir Ris,Control system,2020-11-21 17:16:28,High,In Progress,346.03
L0607,Bishan,Environmental,2020-11-22 22:16:29,Medium,In Progress,462.18
L0543,Bugis Junction,Cybersecurity,2020-11-24 21:06:49,Low,Resolved,430.17
L0745,City Hall,Control system,2020-11-26 20:33:05,Critical,Resolved,455.32
L0534,Bugis Junction,Environmental,2020-11-27 13:09:19,Medium,Detected,381.7
L0980,Canberra,Environmental,2020-11-28 06:57:27,Low,Acknowledged,
L0420,City Hall,Environmental,2020-11-28 07:15:10,Critical,In Progress,337.54
L0967,Jurong West,Cybersecurity,2020-12-01 03:48:06,Informational,In Progress,318.93
L0716,Jurong West,Sensor-related,2020-12-03 16:48:15,Medium,Acknowledged,417.73
L0363,Orchard Road,Environmental,2020-12-04 12:57:19,Medium,Acknowledged,156.63
L0708,Bishan,Power-related,2020-12-05 18:20:02,Informational,Detected,310.74
L0582,Outram Park,Cybersecurity,2020-12-05 18:36:00,Low,Acknowledged,440.8
L0456,Pasir Ris,Sensor-related,2020-12-08 13:18:21,Medium,Detected,141.19
L0670,Canberra,Environmental,2020-12-10 16:19:17,Informational,Acknowledged,416.0
L0608,Canberra,Environmental,2020-12-14 20:27:43,Medium,Acknowledged,403.52
L0514,Pasir Ris,Power-related,2020-12-15 06:06:19,Informational,Resolved,68.97
L0348,Canberra,Power-related,2020-12-18 03:53:00,High,Resolved,109.7
L0922,Canberra,Control system,2020-12-18 05:56:28,Medium,Closed,406.36
L0160,Canberra,Control system,2020-12-19 20:10:58,Low,Closed,104.23
L0229,Toa Payoh,Environmental,2020-12-21 20:02:27,Low,Detected,99.34
L0415,City Hall,Control system,2020-12-22 22:33:49,Critical,In Progress,270.28
L0038,Outram Park,Communication,2020-12-26 11:36:15,High,In Progress,447.18
L0925,Outram Park,Control system,2020-12-27 15:26:59,Critical,Closed,231.93
L0475,City Hall,Environmental,2020-12-28 13:39:44,Critical,In Progress,459.92
L0789,Chinatown,Communication,2020-12-28 13:48:13,Low,Detected,213.63
L0731,Pasir Ris,Power-related,2020-12-29 15:40:30,Informational,Detected,376.1
L0867,Pasir Ris,Communication,2020-12-30 08:33:29,Informational,Closed,352.9
L0140,Toa Payoh,Sensor-related,2020-12-30 09:51:33,Medium,Detected,
